#Parameters = {g_w=0.1; m_th=0.01; lin_w=0.57; er=2.33; lamb=20; subs_th=0.2; subs_l=10; subs_w=10; Patch_length=6.3548709179955; Patch_width=5.7348835113618; x_shift=0.5; y_shift=0}
#"Frequency / GHz"	"Z1,1 [Re]"	"Z1,1 [Im]"
#-----------------------------------------
13.524000167847	6.2938136776344	-231.45676806534
13.527999877930	6.1240754662266	-230.72950507156
13.531999588013	5.9500124046542	-229.99017451007
13.536000251770	5.7734165741317	-229.23845933299
13.539999961853	5.5960713219680	-228.47433186850
13.543999671936	5.4199446007490	-227.69786813644
13.548000335693	5.2466601136732	-226.90948424752
13.552000045776	5.0779797108381	-226.10967246286
13.555999755859	4.9154773858863	-225.29913115662
13.560000419617	4.7606042280752	-224.47867097151
13.564000129700	4.6147856226702	-223.64938581936
13.567999839783	4.4792212498155	-222.81233035874
13.571999549866	4.3549875190328	-221.96876155642
13.576000213623	4.2429322585491	-221.12005111947
13.579999923706	4.1439072470239	-220.26752541341
13.583999633789	4.0584545392705	-219.41263387037
13.588000297546	3.9869636299517	-218.55689953645
13.592000007629	3.9296888338291	-217.70181013364
13.595999717712	3.8867954666716	-216.84883031896
13.600000381470	3.8580818101889	-215.99942526590
13.604000091553	3.8433971363588	-215.15502182782
13.607999801636	3.8423490259879	-214.31700836039
13.612000465393	3.8544443234357	-213.48668244046
13.616000175476	3.8789931968006	-212.66524763781
13.619999885559	3.9152888682359	-211.85389907567
13.623999595642	3.9624154555016	-211.05364903550
13.628000259399	4.0194720808379	-210.26538742566
13.631999969482	4.0854632765563	-209.49002752536
13.635999679565	4.1591818727177	-208.72818722897
13.640000343323	4.2395837837340	-207.98047061997
13.644000053406	4.3253706992980	-207.24739731912
13.647999763489	4.4154137031079	-206.52922847404
13.652000427246	4.5084249472529	-205.82616077461
13.656000137329	4.6031523330575	-205.13829467007
13.659999847412	4.6984076843516	-204.46558850069
13.663999557495	4.7929039774617	-203.80785072161
13.668000221252	4.8855316026159	-203.16480546455
13.671999931335	4.9750913968491	-202.53600951144
13.675999641418	5.0605572332329	-201.92099653294
13.680000305176	5.1408297268323	-201.31912431272
13.684000015259	5.2150197960464	-200.72965711653
13.687999725342	5.2821947529484	-200.15184300596
13.692000389099	5.3416275868380	-199.58474550399
13.696000099182	5.3925901854844	-199.02744225183
13.699999809265	5.4345217535658	-198.47891905014
13.704000473022	5.4669550937495	-197.93809847670
13.708000183105	5.4894847066505	-197.40393088002
13.711999893188	5.5019064908611	-196.87520349150
13.715999603271	5.5040430521007	-196.35086483324
13.720000267029	5.4959252837831	-195.82976343366
13.723999977112	5.4776050823583	-195.31076494986
13.727999687195	5.4493685641974	-194.79272985681
13.732000350952	5.4114914189403	-194.27462354984
13.736000061035	5.3643935397722	-193.75540253199
13.739999771118	5.3086796677657	-193.23412661650
13.744000434875	5.2449223243477	-192.70988467221
13.748000144958	5.1738554331743	-192.18187900803
13.751999855042	5.0963007825548	-191.64935753117
13.755999565125	5.0130812053256	-191.11169520409
13.760000228882	4.9251093315132	-190.56840243896
13.763999938965	4.8333301981059	-190.01895367293
13.767999649048	4.7388030886654	-189.46312646499
13.772000312805	4.6424394426855	-188.90067749181
13.776000022888	4.5453027506378	-188.33147156894
13.779999732971	4.4483858926375	-187.75559325458
13.784000396729	4.3526582410119	-187.17308607204
13.788000106812	4.2590990707480	-186.58424677140
13.791999816895	4.1685965925738	-185.98930384281
13.795999526978	4.0820193865984	-185.38876340032
13.800000190735	4.0001771565458	-184.78314193805
13.803999900818	3.9237923322049	-184.17295909194
13.807999610901	3.8534960970534	-183.55884337149
13.812000274658	3.7899375086784	-182.94153431847
13.815999984741	3.7334975669700	-182.32178968984
13.819999694824	3.6846405832790	-181.70040875454
13.824000358582	3.6436815687025	-181.07818362521
13.828000068665	3.6107746083512	-180.45598567854
13.831999778748	3.5861122382435	-179.83460895757
13.836000442505	3.5696540691176	-179.21495455142
13.840000152588	3.5613480406842	-178.59783595262
13.843999862671	3.5610757477876	-177.98404379399
13.847999572754	3.5685778424109	-177.37437589349
13.852000236511	3.5835300606356	-176.76956585606
13.855999946594	3.6055903298740	-176.17035114823
13.859999656677	3.6342669329891	-175.57735073662
13.864000320435	3.6690374297682	-174.99113347730
13.868000030518	3.7093669571521	-174.41227947435
13.871999740601	3.7546200702791	-173.84125430468
13.876000404358	3.8041427691250	-173.27842794030
13.880000114441	3.8572573998912	-172.72410500497
13.883999824524	3.9132116732077	-172.17858714084
13.887999534607	3.9713160017976	-171.64200733575
13.892000198364	4.0307939874592	-171.11448568541
13.895999908447	4.0909462908387	-170.59603647237
13.899999618530	4.1509939187028	-170.08661292606
13.904000282288	4.2102311497548	-169.58606710774
13.907999992371	4.2679518494243	-169.09418050968
13.911999702454	4.3234662044472	-168.61072075691
13.916000366211	4.3761473380863	-168.13538346637
13.920000076294	4.4253671785856	-167.66768056913
13.923999786377	4.4705702353144	-167.20722580939
13.928000450134	4.5112720719718	-166.75346183785
13.932000160217	4.5470174112565	-166.30584920651
13.935999870300	4.5774148105311	-165.86379390324
13.939999580383	4.6020925947295	-165.42667990881
13.944000244141	4.6208425175561	-164.99382544145
13.947999954224	4.6334552796075	-164.56456194723
13.951999664307	4.6397794943733	-164.13816652672
13.956000328064	4.6398329349054	-163.71395134718
13.960000038147	4.6335883941102	-163.29127206445
13.963999748230	4.6211656188336	-162.86937917388
13.968000411987	4.6027451919015	-162.44759270843
13.972000122070	4.5785410334297	-162.02532161297
13.975999832153	4.5488471726835	-161.60187400840
13.979999542236	4.5140489301925	-161.17674991437
13.984000205994	4.4745552657409	-160.74938934273
13.987999916077	4.4307944414116	-160.31930473964
13.991999626160	4.3833334241620	-159.88606971519
13.996000289917	4.3327089326640	-159.44932187755
14.000000000000	4.2794641881231	-159.00875415619
14.003999710083	4.2242637868513	-158.56412658688
14.008000373840	4.1676790459845	-158.11528713903
14.012000083923	4.1103852352683	-157.66207607020
14.015999794006	4.0529647114080	-157.20452259924
14.020000457764	3.9960895666470	-156.74265419851
14.024000167847	3.9403420081497	-156.27655658738
14.027999877930	3.8863481733306	-155.80640871705
14.031999588013	3.8346407867426	-155.33238693066
14.036000251770	3.7857658534999	-154.85484308477
14.039999961853	3.7402295217079	-154.37406079488
14.043999671936	3.6984670912599	-153.89046331364
14.048000335693	3.6608747853111	-153.40442603879
14.052000045776	3.6277996258187	-152.91650522986
14.055999755859	3.5995532662169	-152.42708721244
14.060000419617	3.5763589917447	-151.93673249159
14.064000129700	3.5583964722500	-151.44596073453
14.067999839783	3.5457956069629	-150.95533633316
14.071999549866	3.5385909113775	-150.46541026155
14.076000213623	3.5368020666466	-149.97667514654
14.079999923706	3.5403661898119	-149.48975984114
14.083999633789	3.5491875157051	-149.00511844301
14.088000297546	3.5630562668912	-148.52327717105
14.092000007629	3.5817753751424	-148.04470951029
14.095999717712	3.6050866687912	-147.56986304239
14.100000381470	3.6326618090506	-147.09917053045
14.104000091553	3.6641472409827	-146.63301403977
14.107999801636	3.6991751297480	-146.17171764521
14.112000465393	3.7373196437616	-145.71560668484
14.116000175476	3.7781150241913	-145.26490060558
14.119999885559	3.8211097894525	-144.81979875037
14.123999595642	3.8658072589912	-144.38047778268
14.128000259399	3.9117288645657	-143.94701823665
14.131999969482	3.9583798019007	-143.51947338278
14.135999679565	4.0052497926982	-143.09785098158
14.140000343323	4.0518336021181	-142.68207715091
14.144000053406	4.0976288458038	-142.27201746104
14.147999763489	4.1422072882413	-141.86757657626
14.152000427246	4.1850871197435	-141.46852084753
14.156000137329	4.2258318179552	-141.07460836425
14.159999847412	4.2640313222849	-140.68555029961
14.163999557495	4.2993478243908	-140.30100360225
14.168000221252	4.3314385056218	-139.92058775682
